Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
mercedes-benz a class (a180),20794.00,02/01/2024,2019,20714,hatchback,manual,petrol,grey mercedes-benz a class. a180 se 5dr 1.3,offaly
mercedes-benz c class (amg sport),7350.00,2024-01-02,2013,102695,saloon,automatic,diesel,red mercedes-benz c class. 2.1 c220 cdi blueefficiency amg sport g-tronic+ euro 5 (s/s) 4dr. 3 previous owners,wexford
mercedes-benz a class (amg line edition),34687.00,2024-01-03,2022,1125,saloon,automatic,diesel,red mercedes-benz a class. a 200 d amg line edition premium plus 2.0 4dr. 1 previous owner,dublin
mercedes-benz c class (bluetec),12495.00,04/01/2024,2014,85907,saloon,manual,diesel,blue mercedes-benz c class. c220 bluetec sport 4dr 2.1,leitrim
mercedes-benz a class (a180),22690.00,2024-01-05,2019,27201,hatchback,automatic,petrol,black mercedes-benz a class. a180 sport executive 5dr auto 1.3. 1 previous owner,dublin
mercedes-benz gle class (gle300d),52288.00,2024-01-05,2020,21002,suv,automatic,diesel,blue mercedes-benz gle. gle 300d 4matic amg line prem + 5dr 9g-tron [7 st] 2.0,wexford
mercedes-benz clk (clk500),7354.00,2024-01-08,2008,96251,convertible,automatic,petrol,mercedes-benz clk. 5.5 clk500 sport cabriolet 2dr. 5 previous owners,dublin
mercedes-benz a class (a200),26897.00,08/01/2024,2019,34131,hatchback,automatic,petrol,red mercedes-benz a-class. a 200 amg line hatchback 1.3 5dr,laois
mercedes-benz c class (amg sport),9435.00,2024-01-10,2013,67115,saloon,automatic,diesel,navy mercedes-benz c class. 3.0 c350 cdi v6 amg sport saloon 4dr diesel g-tronic+ euro 5 (s/s) (265 ps). 4 previous owners,kildare
mercedes-benz a class (amg line),16737.00,12/01/2024,2017,50085,hatchback,auto,petrol,mercedes-benz a class. 1.6 a160 amg line 7g-dct (s/s) 5dr. 2 previous owners,cork
mercedes-benz slk (blueefficiency),13145.00,2024-01-13,2011,28186,convertible,automatic,petrol,mercedes-benz slk. 1.8 slk250 blueefficiency g-tronic+ euro 5 (s/s) 2dr. 3 previous owners,louth
mercedes-benz e class (e43 v6),36259.00,14/01/2024,2018,42833,saloon,automatic,petrol,blue mercedes-benz e class. 3.0 e43 v6 amg (premium plus) saloon 4dr petrol g-tronic+ 4matic euro 6 (s/s) (401 ps). 2 previous owners,dublin
mercedes-benz e class (bluetec),15115,2024-01-15,2015,60490,convertible,auto,diesel,grey mercedes-benz e class. 2.1 e220 bluetec amg line cabriolet 2dr diesel g-tronic+ euro 6 (s/s) (177 ps). 1 previous owner,donegal
mercedes-benz e class (e220d),22319.00,16/01/2024,2016,37276,saloon,automatic,diesel,mercedes-benz e class. e220d se 4dr 9g-tronic 2.0,dublin
mercedes-benz gls class (amg line),79330.00,17/01/2024,2020,19647,suv,automatic,diesel,mercedes-benz gls. gls 400d 4matic amg line premium 5dr 9g-tronic 2.9. 2 previous owners,dublin
mercedes-benz glc class (glc300),42861.00,18/01/2024,2020,21148,coupe,automatic,petrol,silver mercedes-benz glc coupe. glc 300 4matic amg line premium 5dr 9g-tronic 2.0,cork
mercedes-benz e class (blueefficiency),10700.00,18/01/2024,2013,63154,saloon,automatic,diesel,blue mercedes-benz e class. 2.1 e250 cdi blueefficiency sport g-tronic+ euro 5 (s/s) 4dr. 2 previous owners,dublin
mercedes-benz c class (blueefficiency),11130.00,2024-01-19,2013,47780,saloon,automatic,diesel,navy mercedes-benz c-class. 2.1 c250 cdi blueefficiency amg sport 4d 202 bhp half leather|auto,dublin
